,instance_name,seed,c,w,n,wmin,wmax,lb,gurobi_n_bins,gurobi_bin_for_item,gurobi_runtime,bin_filling,AL_SA_min_eigenvalue,AL_SA_eigenval_prob,AL_SA_yi,AL_SA_xij,AL_SA_runtime,AL_SA_assignment,AL_SA_real_weights_sum,AL_SA_placed_weights_sum,AL_SA_used_items,AL_SA_feasible,AL_SA_reason,AL_SA_penalties_dict_delta,AL_SA_penalties_dict_theta,AL_SA_penalties_dict_lmbd,AL_SA_penalties_dict_rho,AL_SA_penalties_dict_gamma
20,bpp_7_10,123,10,"[9, 9, 4, 7, 5, 5, 5]",7,4,9,5,5.000000,"[4, 2, 1, 3, 5, 5, 1]",1005.000000,"{4: 9, 2: 9, 1: 9, 3: 7, 5: 10}",0.250200,0.001000,"['2', '6', '1', '5', '3']","['2', '6', '1', '5', '3']",1242.839813,"[('1', 9), ('2', 7), ('3', 9), ('5', 9), ('6', 10)]",44,44,"[1, 3, 2, 5, 0, 4, 6]",True,[],0.150000,2,0.138900,0.027800,1
21,bpp_8_10,123,10,"[8, 8, 5, 6, 8, 4, 7, 6]",8,4,8,6,7.000000,"[6, 0, 4, 3, 1, 5, 7, 5]",1875.000000,"{6: 8, 0: 8, 4: 5, 3: 6, 1: 8, 5: 10, 7: 7}",0.051000,0.001000,"['2', '0', '7', '1', '5', '6', '3']","['2', '0', '7', '1', '5', '6', '3']",1573.276997,"[('0', 9), ('1', 7), ('2', 8), ('3', 8), ('5', 6), ('6', 6), ('7', 8)]",52,52,"[2, 5, 6, 1, 4, 3, 7, 0]",True,[],0.150000,2,0.138900,0.027800,1
22,bpp_9_10,123,10,"[9, 8, 5, 9, 8, 5, 7, 8, 5]",9,5,9,7,8.000000,"[2, 7, 6, 1, 5, 8, 0, 3, 8]",1419.000000,"{2: 9, 7: 8, 6: 5, 1: 9, 5: 8, 8: 10, 0: 7, 3: 8}",0.560000,0.001000,"['2', '0', '7', '8', '4', '1', '5', '3']","['2', '0', '7', '8', '4', '1', '5', '3']",2050.053120,"[('0', 5), ('1', 7), ('2', 8), ('3', 10), ('4', 8), ('5', 9), ('7', 9), ('8', 8)]",64,64,"[8, 6, 1, 2, 5, 4, 0, 3, 7]",True,[],0.150000,2,0.100000,0.020000,1
23,bpp_10_10,123,10,"[5, 4, 4, 6, 4, 7, 6, 5, 6, 4]",10,4,7,6,6.000000,"[0, 4, 2, 4, 6, 9, 6, 0, 2, 7]",2869.000000,"{0: 10, 4: 10, 2: 10, 6: 10, 9: 7, 7: 4}",0.162300,0.007000,"['2', '7', '8', '6', '1', '3', '9']","['2', '7', '8', '6', '1', '3', '9']",2571.388483,"[('1', 8), ('2', 6), ('3', 6), ('6', 9), ('7', 7), ('8', 6), ('9', 9)]",51,51,"[1, 2, 6, 8, 4, 7, 5, 3, 0, 9]",True,[],0.150000,2,0.138900,0.027800,1
24,bpp_3_10,90,10,"[7, 6, 4]",3,4,7,2,2.000000,"[1, 0, 0]",425.000000,"{1: 7, 0: 10}",0.133500,0.246000,"['2', '1']","['2', '1']",267.575979,"[('1', 7), ('2', 10)]",17,17,"[0, 1, 2]",True,[],0.150000,2,0.138900,0.027800,1
25,bpp_4_10,90,10,"[8, 5, 7, 5]",4,5,8,3,3.000000,"[2, 0, 1, 0]",485.000000,"{2: 8, 0: 10, 1: 7}",0.210000,0.030000,"['3', '2', '0']","['3', '2', '0']",550.346851,"[('0', 7), ('2', 8), ('3', 10)]",25,25,"[2, 0, 1, 3]",True,[],0.150000,2,0.100000,0.020000,1
26,bpp_5_10,90,10,"[6, 7, 8, 7, 4]",5,4,8,4,4.000000,"[0, 3, 4, 2, 0]",762.000000,"{0: 10, 3: 7, 4: 8, 2: 7}",0.100400,0.047000,"['3', '0', '1', '4']","['3', '0', '1', '4']",1057.062387,"[('0', 7), ('1', 10), ('3', 7), ('4', 8)]",32,32,"[1, 0, 4, 3, 2]",True,[],0.150000,2,0.138900,0.027800,1
27,bpp_6_10,90,10,"[6, 8, 8, 9, 9, 6]",6,6,9,5,6.000000,"[5, 2, 0, 4, 1, 3]",644.000000,"{5: 6, 2: 8, 0: 8, 4: 9, 1: 9, 3: 6}",0.477200,0.003000,"['2', '0', '4', '1', '5', '3']","['2', '0', '4', '1', '5', '3']",1478.160620,"[('0', 9), ('1', 6), ('2', 8), ('3', 9), ('4', 6), ('5', 8)]",46,46,"[3, 0, 1, 4, 5, 2]",True,[],0.150000,2,0.075800,0.015200,1
28,bpp_7_10,90,10,"[5, 4, 4, 4, 8, 9, 6]",7,4,9,4,5.000000,"[0, 2, 2, 4, 3, 5, 4]",1120.000000,"{0: 5, 2: 8, 4: 10, 3: 8, 5: 9}",0.083800,0.005000,"['2', '0', '6', '5', '1']","['2', '0', '6', '5', '1']",1547.639847,"[('0', 9), ('1', 8), ('2', 6), ('5', 9), ('6', 8)]",40,40,"[0, 1, 2, 3, 6, 5, 4]",True,[],0.150000,2,0.138900,0.027800,1
29,bpp_8_10,90,10,"[7, 9, 7, 8, 8, 5, 5, 8]",8,5,9,6,7.000000,"[5, 3, 1, 6, 4, 0, 0, 7]",1469.000000,"{5: 7, 3: 9, 1: 7, 6: 8, 4: 8, 0: 10, 7: 8}",0.370000,0.001000,"['2', '0', '7', '1', '5', '6', '3']","['2', '0', '7', '1', '5', '6', '3']",1602.143049,"[('0', 10), ('1', 8), ('2', 9), ('3', 8), ('5', 7), ('6', 8), ('7', 7)]",57,57,"[5, 6, 4, 1, 7, 2, 3, 0]",True,[],0.150000,2,0.100000,0.020000,1
30,bpp_9_10,90,10,"[8, 5, 4, 9, 9, 5, 4, 4, 5]",9,4,9,6,6.000000,"[5, 2, 7, 8, 4, 3, 7, 2, 3]",2329.000000,"{5: 8, 2: 9, 7: 8, 8: 9, 4: 9, 3: 10}",0.177900,0.001000,"['7', '8', '4', '6', '5', '3']","['7', '8', '4', '6', '5', '3']",2042.866945,"[('3', 8), ('4', 9), ('5', 9), ('6', 9), ('7', 9), ('8', 9)]",53,53,"[0, 3, 1, 7, 4, 5, 6, 2, 8]",True,[],0.150000,2,0.138900,0.027800,1
31,bpp_10_10,90,10,"[8, 6, 8, 7, 7, 9, 8, 6, 8, 9]",10,6,9,8,10.000000,"[9, 2, 1, 7, 0, 5, 6, 3, 4, 8]",1516.000000,"{9: 8, 2: 6, 1: 8, 7: 7, 0: 7, 5: 9, 6: 8, 3: 6, 4: 8, 8: 9}",0.714400,0.006000,"['2', '0', '7', '8', '4', '1', '5', '6', '3', '9']","['2', '0', '7', '8', '4', '1', '5', '6', '3', '9']",2573.964357,"[('0', 7), ('1', 8), ('2', 7), ('3', 8), ('4', 9), ('5', 9), ('6', 6), ('7', 6), ('8', 8), ('9', 8)]",76,76,"[3, 0, 4, 2, 9, 5, 1, 7, 8, 6]",True,[],0.150000,2,0.075800,0.015200,1
32,bpp_3_10,510,10,"[5, 7, 6]",3,5,7,2,3.000000,"[2, 0, 1]",650.000000,"{2: 5, 0: 7, 1: 6}",0.250000,0.168000,"['2', '0', '1']","['2', '0', '1']",278.184175,"[('0', 6), ('1', 5), ('2', 7)]",18,18,"[2, 0, 1]",True,[],0.150000,2,0.100000,0.020000,1
33,bpp_4_10,510,10,"[6, 8, 5, 4]",4,4,8,3,3.000000,"[0, 1, 2, 0]",1042.000000,"{0: 10, 1: 8, 2: 5}",0.061500,0.044000,"['3', '2', '0']","['3', '2', '0']",447.745800,"[('0', 8), ('2', 6), ('3', 9)]",23,23,"[1, 0, 2, 3]",True,[],0.150000,2,0.138900,0.027800,1
34,bpp_5_10,510,10,"[6, 9, 4, 8, 4]",5,4,9,4,4.000000,"[0, 3, 4, 2, 0]",692.000000,"{0: 10, 3: 9, 4: 4, 2: 8}",0.044900,0.004000,"['2', '0', '1', '4']","['2', '0', '1', '4']",661.928892,"[('0', 9), ('1', 8), ('2', 6), ('4', 8)]",31,31,"[1, 3, 0, 2, 4]",True,[],0.150000,2,0.138900,0.027800,1
35,bpp_6_10,510,10,"[4, 5, 8, 9, 8, 6]",6,4,9,4,5.000000,"[5, 2, 0, 4, 1, 5]",925.000000,"{5: 10, 2: 5, 0: 8, 4: 9, 1: 8}",0.083800,0.078000,"['2', '0', '1', '5', '3']","['2', '0', '1', '5', '3']",916.131973,"[('0', 8), ('1', 8), ('2', 6), ('3', 9), ('5', 9)]",40,40,"[2, 4, 5, 3, 0, 1]",True,[],0.150000,2,0.138900,0.027800,1
36,bpp_7_10,510,10,"[8, 6, 8, 4, 9, 9, 8]",7,4,9,6,6.000000,"[5, 0, 6, 0, 1, 3, 4]",1223.000000,"{5: 8, 0: 10, 6: 8, 1: 9, 3: 9, 4: 8}",0.178000,0.003000,"['2', '0', '1', '5', '6', '3']","['2', '0', '1', '5', '6', '3']",1508.823156,"[('0', 8), ('1', 10), ('2', 8), ('3', 9), ('5', 8), ('6', 9)]",52,52,"[0, 1, 3, 6, 5, 2, 4]",True,[],0.150000,2,0.138900,0.027800,1
37,bpp_8_10,510,10,"[8, 9, 7, 8, 4, 4, 8, 5]",8,4,9,6,7.000000,"[6, 0, 4, 3, 1, 5, 7, 1]",1194.000000,"{6: 8, 0: 9, 4: 7, 3: 8, 1: 9, 5: 4, 7: 8}",0.106500,0.001000,"['2', '0', '7', '4', '1', '5', '3']","['2', '0', '7', '4', '1', '5', '3']",2540.859699,"[('0', 8), ('1', 9), ('2', 7), ('3', 8), ('4', 8), ('5', 8), ('7', 5)]",53,53,"[4, 5, 1, 2, 6, 3, 0, 7]",True,[],0.150000,2,0.138900,0.027800,1
38,bpp_9_10,510,10,"[5, 9, 9, 8, 6, 7, 4, 9, 5]",9,4,9,7,7.000000,"[5, 6, 0, 8, 7, 1, 7, 2, 5]",1445.000000,"{5: 10, 6: 9, 0: 9, 8: 8, 7: 10, 1: 7, 2: 9}",0.312200,0.001000,"['2', '0', '7', '8', '4', '5', '6', '3']","['2', '0', '7', '8', '4', '5', '6', '3']",2047.603846,"[('0', 7), ('2', 5), ('3', 9), ('4', 6), ('5', 9), ('6', 9), ('7', 9), ('8', 8)]",62,62,"[5, 0, 7, 4, 1, 2, 6, 8, 3]",True,[],0.150000,2,0.138900,0.027800,1
39,bpp_10_10,510,10,"[9, 5, 9, 4, 7, 8, 6, 4, 5, 8]",10,4,9,7,8.000000,"[5, 0, 9, 3, 6, 2, 3, 4, 0, 8]",3280.000000,"{5: 9, 0: 10, 9: 9, 3: 10, 6: 7, 2: 8, 4: 4, 8: 8}",0.145100,0.001000,"['2', '0', '8', '4', '1', '6', '3', '9']","['2', '0', '8', '4', '1', '6', '3', '9']",2468.398094,"[('0', 8), ('1', 7), ('2', 6), ('3', 9), ('4', 9), ('6', 9), ('8', 9), ('9', 8)]",65,65,"[9, 4, 6, 2, 0, 1, 3, 7, 8, 5]",True,[],0.150000,2,0.138900,0.027800,1
